United States,USA,113690,3433
Brazil,BRA,58178,2135
India,IND,33783,2024
Mexico,MEX,70715,1316
China,CHN,120940,800
Turkey,TUR,12316,656
Argentina,ARG,11458,626
Russia,RUS,25339,604
United Kingdom,GBR,28456,474
Canada,CAN,25828,429
France,FRA,1980000,344
Spain,ESP,1538,300
Egypt,EGY,15812,278
Germany,DEU,222360,258
South Korea,KOR,107939,250
Thailand,THA,31902,249
Italy,ITA,3064933,244
Colombia,COL,152560,243
Peru,PER,9165,223
Ukraine,UKR,494,213
Ecuador,ECU,2251,200
Japan,JPN,11636,198
Australia,AUS,37484,187
Poland,POL,2024,181
Chile,CHL,12258,156
Syria,SYR,452,152
Greece,GRC,17977,149
Iran,IRN,3672,147
Venezuela,VEN,2187,135
Hungary,HUN,283,134
Saudi Arabia,SAU,14500,128
Portugal,PRT,166922,122
Romania,ROU,7006,122
Czech Republic,CZE,2445,102
Israel,ISR,4330,94
South Africa,ZAF,12640,93
Malaysia,MYS,12210,92
Belarus,BLR,102,88
Serbia,SRB,695,83
Hong Kong,HKG,33109,80
Cuba,CUB,973,69
Costa Rica,CRI,1867,67
Morocco,MAR,2890,64
Netherlands,NLD,1473,62
Bolivia,BOL,2310,59
Vietnam,VNM,11186,58
Algeria,DZA,916,57
Finland,FIN,6122,56
Slovakia,SVK,955,56
Paraguay,PRY,855,54
New Zealand,NZL,3199,50
Taiwan,TWN,5474,48
Sri Lanka,LKA,642,48
Moldova,MDA,2524,46
Palestinian Territories,PSE,1676,43
Iraq,IRQ,2880,42
Austria,AUT,964,40
Bulgaria,BGR,766,40